Log initialized at: 2025-03-14 12:37:03
Temps pour affichage : 0.00381321 secondes
Temps pour affichage : 0.00335162 secondes
Temps pour affichage : 0.00387769 secondes
Temps pour affichage : 0.00353775 secondes
Temps pour affichage : 0.0180478 secondes
Temps pour affichage : 0.00446163 secondes
Temps pour affichage : 0.00357038 secondes
Temps pour affichage : 0.00288854 secondes
Temps pour affichage : 0.0111364 secondes
Temps pour affichage : 0.00367652 secondes
Temps pour affichage : 0.00372874 secondes
Temps pour affichage : 0.004453 secondes
Temps pour affichage : 0.00307706 secondes
Temps pour affichage : 0.00352554 secondes
Temps pour affichage : 0.00328758 secondes
Temps pour affichage : 0.00320923 secondes
Temps pour affichage : 0.00346484 secondes
Temps pour affichage : 0.00497757 secondes
Temps pour affichage : 0.00353379 secondes
Temps pour affichage : 0.00291372 secondes
Temps pour affichage : 0.0029535 secondes
Temps pour affichage : 0.00370366 secondes
Temps pour affichage : 0.00312309 secondes
Temps pour affichage : 0.00458925 secondes
Temps pour affichage : 0.00323976 secondes
Temps pour affichage : 0.00319534 secondes
Temps pour affichage : 0.00314583 secondes
Temps pour affichage : 0.0031266 secondes
Temps pour affichage : 0.00373504 secondes
Temps pour affichage : 0.00423139 secondes
Temps pour affichage : 0.00321286 secondes
Temps pour affichage : 0.00317041 secondes
Temps pour affichage : 0.00380301 secondes
Temps pour affichage : 0.00362353 secondes
Temps pour affichage : 0.00348037 secondes
Temps pour affichage : 0.00603331 secondes
Temps pour affichage : 0.00364319 secondes
Temps pour affichage : 0.00292545 secondes
Temps pour affichage : 0.00391735 secondes
Temps pour affichage : 0.00359667 secondes
Temps pour affichage : 0.00377331 secondes
Temps pour affichage : 0.00422737 secondes
Temps pour affichage : 0.00330799 secondes
Temps pour affichage : 0.00350059 secondes
Temps pour affichage : 0.00510815 secondes
Temps pour affichage : 0.00367158 secondes
Temps pour affichage : 0.00359941 secondes
Temps pour affichage : 0.00445526 secondes
Temps pour affichage : 0.00351271 secondes
Temps pour affichage : 0.00899615 secondes
Temps pour affichage : 0.00421671 secondes
Temps pour affichage : 0.00400521 secondes
Temps pour affichage : 0.00404607 secondes
Temps pour affichage : 0.00327747 secondes
Temps pour affichage : 0.00319325 secondes
Temps pour affichage : 0.00339932 secondes
Temps pour affichage : 0.0045601 secondes
Temps pour affichage : 0.00397061 secondes
Temps pour affichage : 0.00359768 secondes
