Log initialized at: 2025-03-14 12:35:09
Test for first try of OpenMP optimization
Nombre de coeurs physiques : 32
Temps pour affichage : 0.0181079 secondes
Temps pour avancement : 0.0235438 secondes
Temps pour affichage : 0.0173857 secondes
Sauvegarde des cartes du feu et de la végétation à l'étape 300
Temps pour avancement : 0.0385816 secondes
Temps pour affichage : 0.0156744 secondes
Temps pour avancement : 0.0220998 secondes
Temps pour affichage : 0.0165715 secondes
Temps pour avancement : 0.0175277 secondes
Temps pour affichage : 0.0174265 secondes
Temps pour avancement : 0.0197615 secondes
Temps pour affichage : 0.0171739 secondes
Temps pour avancement : 0.0243027 secondes
Temps pour affichage : 0.0152121 secondes
Temps pour avancement : 0.00969901 secondes
Temps pour affichage : 0.0163538 secondes
Temps pour avancement : 0.0145444 secondes
Temps pour affichage : 0.0135328 secondes
Temps pour avancement : 0.0164222 secondes
Temps pour affichage : 0.013676 secondes
Temps pour avancement : 0.0273974 secondes
Temps pour affichage : 0.0146763 secondes
Temps pour avancement : 0.0107302 secondes
Temps pour affichage : 0.0137463 secondes
Temps pour avancement : 0.0161179 secondes
Temps pour affichage : 0.0171273 secondes
Temps pour avancement : 0.0302651 secondes
Temps pour affichage : 0.0166363 secondes
Temps pour avancement : 0.0245548 secondes
Temps pour affichage : 0.0161726 secondes
Temps pour avancement : 0.014445 secondes
Temps pour affichage : 0.015961 secondes
Temps pour avancement : 0.02836 secondes
Temps pour affichage : 0.016254 secondes
Temps pour avancement : 0.0121245 secondes
Temps pour affichage : 0.0164316 secondes
Temps pour avancement : 0.0231181 secondes
Temps pour affichage : 0.0150055 secondes
Temps pour avancement : 0.0177006 secondes
Temps pour affichage : 0.0131885 secondes
Temps pour avancement : 0.0157817 secondes
Temps pour affichage : 0.0149197 secondes
Temps pour avancement : 0.0185221 secondes
Temps pour affichage : 0.0149734 secondes
Temps pour avancement : 0.0237678 secondes
Temps pour affichage : 0.0150924 secondes
Temps pour avancement : 0.0322385 secondes
Temps pour affichage : 0.0150453 secondes
Temps pour avancement : 0.0171335 secondes
Temps pour affichage : 0.0124175 secondes
Temps pour avancement : 0.00935058 secondes
Temps pour affichage : 0.0138759 secondes
Temps pour avancement : 0.0150791 secondes
Temps pour affichage : 0.0156929 secondes
Temps pour avancement : 0.00919027 secondes
Temps pour affichage : 0.0176229 secondes
Temps pour avancement : 0.0243861 secondes
Temps pour affichage : 0.0165141 secondes
Temps pour avancement : 0.00777682 secondes
Temps pour affichage : 0.0156469 secondes
Temps pour avancement : 0.00962873 secondes
Temps pour affichage : 0.0129177 secondes
Temps pour avancement : 0.0273895 secondes
Temps pour affichage : 0.0161984 secondes
Temps pour avancement : 0.0149087 secondes
Temps pour affichage : 0.0159411 secondes
Temps pour avancement : 0.0218176 secondes
Temps pour affichage : 0.0164843 secondes
Temps pour avancement : 0.0154962 secondes
Temps pour affichage : 0.013276 secondes
Temps pour avancement : 0.00883938 secondes
Temps pour affichage : 0.0120002 secondes
Temps pour avancement : 0.0149316 secondes
Temps pour affichage : 0.014256 secondes
Temps pour avancement : 0.0141909 secondes
Temps pour affichage : 0.0152922 secondes
Temps pour avancement : 0.021471 secondes
Temps pour affichage : 0.0147853 secondes
Temps pour avancement : 0.0174255 secondes
Temps pour affichage : 0.013301 secondes
Temps pour avancement : 0.00851345 secondes
Temps pour affichage : 0.0140998 secondes
Temps pour avancement : 0.0281498 secondes
Temps pour affichage : 0.0158603 secondes
Temps pour avancement : 0.0176476 secondes
Temps pour affichage : 0.0143067 secondes
Temps pour avancement : 0.015316 secondes
Temps pour affichage : 0.0140434 secondes
Temps pour avancement : 0.0149933 secondes
Temps pour affichage : 0.0125504 secondes
