Log initialized at: 2025-03-09 09:25:08
Test for MPI with 2 threads
Temps pour une étape : 0.000152611 secondes
Temps pour une étape : 0.000198122 secondes
Temps pour une étape : 0.00015267 secondes
Temps pour une étape : 0.00017856 secondes
Temps pour une étape : 0.000160723 secondes
Temps pour une étape : 0.000143295 secondes
Temps pour une étape : 0.000168614 secondes
Temps pour une étape : 0.000164125 secondes
Temps pour une étape : 0.000136494 secondes
Temps pour une étape : 0.000140435 secondes
Temps pour une étape : 0.000143229 secondes
Temps pour une étape : 0.000140255 secondes
Temps pour une étape : 0.000181512 secondes
Temps pour une étape : 0.000136812 secondes
Temps pour une étape : 0.000154986 secondes
Temps pour une étape : 0.000152799 secondes
Temps pour une étape : 0.000156187 secondes
Temps pour une étape : 0.000134376 secondes
Temps pour une étape : 0.000156777 secondes
Temps pour une étape : 0.000139925 secondes
Temps pour une étape : 0.000134557 secondes
Temps pour une étape : 0.000143593 secondes
Temps pour une étape : 0.00019077 secondes
Temps pour une étape : 0.000175487 secondes
Temps pour une étape : 0.000200588 secondes
Temps pour une étape : 0.000175069 secondes
Temps pour une étape : 0.000130905 secondes
Temps pour une étape : 0.000506209 secondes
Temps pour une étape : 0.00018914 secondes
Temps pour une étape : 0.000138544 secondes
Temps pour une étape : 0.000166986 secondes
Temps pour une étape : 0.000175618 secondes
Temps pour une étape : 0.000146461 secondes
Temps pour une étape : 0.000137018 secondes
Temps pour une étape : 0.000127485 secondes
Temps pour une étape : 0.000199574 secondes
Temps pour une étape : 0.000139323 secondes
Temps pour une étape : 0.000174184 secondes
Temps pour une étape : 0.000189985 secondes
Temps pour une étape : 0.000141308 secondes
Temps pour une étape : 0.000196933 secondes
Temps pour une étape : 0.000171172 secondes
Temps pour une étape : 0.000136608 secondes
Temps pour une étape : 0.00017386 secondes
Temps pour une étape : 0.00017772 secondes
Temps pour une étape : 0.000165147 secondes
Temps pour une étape : 0.000135622 secondes
Temps pour une étape : 0.000156577 secondes
Temps pour une étape : 0.000135748 secondes
Temps pour une étape : 0.000142041 secondes
Temps pour une étape : 0.000145838 secondes
Temps pour une étape : 0.0002107 secondes
Temps pour une étape : 0.000167636 secondes
Temps pour une étape : 0.000149218 secondes
Temps pour une étape : 0.000143205 secondes
Temps pour une étape : 0.000200308 secondes
Temps pour une étape : 0.000200732 secondes
Temps pour une étape : 0.000194945 secondes
Temps pour une étape : 0.000172119 secondes
Temps pour une étape : 0.000178154 secondes
Temps pour une étape : 0.000164792 secondes
Temps pour une étape : 0.000142718 secondes
Temps pour une étape : 0.000143605 secondes
Temps pour une étape : 0.000155326 secondes
Temps pour une étape : 0.000215692 secondes
Temps pour une étape : 0.000180043 secondes
Temps pour une étape : 0.000212776 secondes
Temps pour une étape : 0.000203749 secondes
Temps pour une étape : 0.000156586 secondes
Temps pour une étape : 0.000126752 secondes
Temps pour une étape : 0.000129571 secondes
Temps pour une étape : 0.000196767 secondes
Temps pour une étape : 0.000133995 secondes
Temps pour une étape : 0.000186416 secondes
Temps pour une étape : 0.000167383 secondes
Temps pour une étape : 0.000130617 secondes
Temps pour une étape : 0.000156854 secondes
Temps pour une étape : 0.000137429 secondes
Temps pour une étape : 0.000145494 secondes
Temps pour une étape : 0.000188019 secondes
Temps pour une étape : 0.000163686 secondes
Temps pour une étape : 0.000135125 secondes
Temps pour une étape : 0.000174749 secondes
Temps pour une étape : 0.000178303 secondes
Temps pour une étape : 0.00021242 secondes
Temps pour une étape : 0.000151162 secondes
Temps pour une étape : 0.000177436 secondes
Temps pour une étape : 0.000132205 secondes
Temps pour une étape : 0.000158166 secondes
Temps pour une étape : 0.000163758 secondes
Temps pour une étape : 0.000120442 secondes
Temps pour une étape : 0.000167524 secondes
Temps pour une étape : 0.000198945 secondes
Temps pour une étape : 0.000187431 secondes
Temps pour une étape : 0.000127067 secondes
Temps pour une étape : 0.000126383 secondes
Temps pour une étape : 0.000177568 secondes
Temps pour une étape : 0.000127337 secondes
Temps pour une étape : 0.000139437 secondes
Temps pour une étape : 0.000138749 secondes
Temps pour une étape : 0.000136686 secondes
Temps pour une étape : 0.00013362 secondes
Temps pour une étape : 0.000136039 secondes
Temps pour une étape : 0.000175083 secondes
Temps pour une étape : 0.000162773 secondes
Temps pour une étape : 0.000156933 secondes
Temps pour une étape : 0.000138892 secondes
Temps pour une étape : 0.000160948 secondes
Temps pour une étape : 0.0001497 secondes
Temps pour une étape : 0.000129741 secondes
Temps pour une étape : 0.000132497 secondes
Temps pour une étape : 0.000123067 secondes
Temps pour une étape : 0.000148746 secondes
Temps pour une étape : 0.000124707 secondes
Temps pour une étape : 0.000119888 secondes
Temps pour une étape : 0.000148855 secondes
Temps pour une étape : 0.000151887 secondes
Temps pour une étape : 0.000117649 secondes
Temps pour une étape : 0.000139533 secondes
Temps pour une étape : 0.000125257 secondes
Temps pour une étape : 0.000127404 secondes
Temps pour une étape : 0.00016077 secondes
Temps pour une étape : 0.000143295 secondes
Temps pour une étape : 0.000180337 secondes
Temps pour une étape : 0.00019509 secondes
Temps pour une étape : 0.000153032 secondes
Temps pour une étape : 0.000147753 secondes
Temps pour une étape : 0.000180568 secondes
Temps pour une étape : 0.000156386 secondes
Temps pour une étape : 0.000179044 secondes
Temps pour une étape : 0.000172967 secondes
Temps pour une étape : 0.000164849 secondes
Temps pour une étape : 0.000219725 secondes
Temps pour une étape : 0.000170757 secondes
Temps pour une étape : 0.000150163 secondes
Temps pour une étape : 0.000146209 secondes
Temps pour une étape : 0.000152245 secondes
Temps pour une étape : 0.000148068 secondes
Temps pour une étape : 0.000158292 secondes
Temps pour une étape : 0.000156458 secondes
Temps pour une étape : 0.000157142 secondes
Temps pour une étape : 0.000138729 secondes
Temps pour une étape : 0.000173863 secondes
Temps pour une étape : 0.000144284 secondes
Temps pour une étape : 0.000151925 secondes
Temps pour une étape : 0.000139415 secondes
Temps pour une étape : 0.000134478 secondes
Temps pour une étape : 0.000148299 secondes
Temps pour une étape : 0.000150463 secondes
Temps pour une étape : 0.000145111 secondes
Temps pour une étape : 0.000147521 secondes
Temps pour une étape : 0.00014366 secondes
Temps pour une étape : 0.00013562 secondes
Temps pour une étape : 0.000162353 secondes
Temps pour une étape : 0.00015478 secondes
Temps pour une étape : 0.000180212 secondes
Temps pour une étape : 0.000171294 secondes
Temps pour une étape : 0.000126328 secondes
Temps pour une étape : 0.000123922 secondes
Temps pour une étape : 0.000129818 secondes
